Country,Population
China,1397715000
India,1366417754
North America,365892703
Euro area,342597698
United States,328239523
Indonesia,270625568
Pakistan,216565318
Brazil,211049527
Nigeria,200963599
Bangladesh,163046161
Russian Federation,144373535
Mexico,127575529
Japan,126264931
Ethiopia,112078730
Philippines,108116615
Central Europe and the Baltics,102378579
Egypt,100388073
Vietnam,96462106
Congo,86790567
Turkey,83429615
Germany,83132799
Iran,82913906
Thailand,69625582
France,67059887
United Kingdom,66834405
Italy,60297396
South Africa,58558270
Tanzania,58005463
Myanmar,54045420
Kenya,52573973
Korea,51709098
Colombia,50339443
Spain,47076781
Argentina,44938712
Ukraine,44385155
Uganda,44269594
Algeria,43053054
Sudan,42813238
Small states,41255484
Iraq,39309783
Afghanistan,38041754
Poland,37970874
Canada,37589262
Morocco,36471769
Saudi Arabia,34268528
Uzbekistan,33580650
Peru,32510453
Malaysia,31949777
Angola,31825295
Ghana,30417856
Mozambique,30366036
Yemen,29161922
Nepal,28608710
Venezuela,28515829
Madagascar,26969307
Cameroon,25876380
Cote d'Ivoire,25716544
"Korea, Dem. People’s Rep.",25666161
Australia,25364307
Niger,23310715
Sri Lanka,21803000
Burkina Faso,20321378
Mali,19658031
Romania,19356544
Chile,18952038
Malawi,18628747
Kazakhstan,18513930
Zambia,17861030
Ecuador,17373662
Netherlands,17332850
Syrian Arab Republic,17070135
Guatemala,16604026
Cambodia,16486542
Senegal,16296364
Chad,15946876
Somalia,15442905
Zimbabwe,14645468
Guinea,12771246
Rwanda,12626950
Benin,11801151
Tunisia,11694719
Burundi,11530580
Bolivia,11513100
Belgium,11484055
Cuba,11333483
Haiti,11263077
South Sudan,11062113
Dominican Republic,10738958
Greece,10716322
Czech Republic,10669709
Sweden,10285453
Portugal,10269417
Jordan,10101694
Azerbaijan,10023318
United Arab Emirates,9770529
Hungary,9769949
Honduras,9746117
Belarus,9466856
Tajikistan,9321018
Israel,9053300
Austria,8877067
Papua New Guinea,8776109
Switzerland,8574832
Togo,8082366
Sierra Leone,7813215
"Hong Kong SAR, China",7507400
Caribbean small states,7401381
Lao PDR,7169455
Paraguay,7044636
Bulgaria,6975761
Serbia,6944975
Lebanon,6855713
Libya,6777452
Nicaragua,6545502
Kyrgyz Republic,6456900
El Salvador,6453553
Turkmenistan,5942089
Denmark,5818553
Singapore,5703569
Finland,5520314
Slovak Republic,5454073
"Congo, Rep.",5380508
Norway,5347896
Costa Rica,5047561
Oman,4974986
Ireland,4941444
Liberia,4937374
New Zealand,4917000
Central African Republic,4745185
West Bank and Gaza,4685306
Mauritania,4525696
Panama,4246439
Kuwait,4207083
Croatia,4067500
Georgia,3720382
Uruguay,3461734
Bosnia and Herzegovina,3301000
Mongolia,3225167
Puerto Rico,3193694
Armenia,2957731
Jamaica,2948279
Albania,2854191
Qatar,2832067
Lithuania,2786844
Moldova,2657637
Namibia,2494530
Pacific island small states,2493696
"Gambia, The",2347706
Botswana,2303697
Gabon,2172579
Lesotho,2125268
Slovenia,2087946
North Macedonia,2083459
Guinea-Bissau,1920922
Latvia,1912789
Kosovo,1794248
Bahrain,1641172
Trinidad and Tobago,1394973
Equatorial Guinea,1355986
Estonia,1326590
Timor-Leste,1293119
Mauritius,1265711
Cyprus,1198575
Eswatini,1148130
Djibouti,973560
Fiji,889953
Comoros,850886
Guyana,782766
Bhutan,763092
Solomon Islands,669823
"Macao SAR, China",640445
Montenegro,622137
Luxembourg,619896
Suriname,581372
Cabo Verde,549935
Maldives,530953
Malta,502653
Brunei Darussalam,433285
Belize,390353
"Bahamas, The",389482
Iceland,361313
Vanuatu,299882
New Caledonia,287800
Barbados,287025
French Polynesia,279287
Sao Tome and Principe,215056
Samoa,197097
St. Lucia,182790
Channel Islands,172259
Guam,167294
Curacao,157538
Kiribati,117606
"Micronesia, Fed. Sts.",113815
Grenada,112003
St. Vincent and the Grenadines,110589
Virgin Islands (U.S.),106631
Aruba,106314
Tonga,104494
Seychelles,97625
Antigua and Barbuda,97118
Isle of Man,84584
Andorra,77142
Dominica,71808
Cayman Islands,64948
Bermuda,63918
Marshall Islands,58791
Northern Mariana Islands,57216
Greenland,56225
American Samoa,55312
St. Kitts and Nevis,52823
Faroe Islands,48678
Sint Maarten (Dutch part),40733
Monaco,38964
Turks and Caicos Islands,38191
Liechtenstein,38019
St. Martin (French part),38002
San Marino,33860
Gibraltar,33701
British Virgin Islands,30030
Palau,18008
Nauru,12581
Tuvalu,11646
